model,agent.ses_background,scenario.scenario_name,scenario.scenario_index,correct.q_2007_3_9_1_mc,correct.q_2007_2_9_8_mc,correct.q_2007_1_9_4_mc,correct.q_2007_4_6_2_mc,correct.q_2007_3_9_4_mc,correct.q_2007_2_9_12_mc,correct.q_2007_1_6_7_mc,correct.q_2007_1_2_1_mc,correct.q_2007_4_3_8_mc,correct.q_2007_3_4_4_mc,correct.q_2007_1_2_5_mc,correct.q_2007_4_9_5_mc,correct.q_2007_4_3_3_mc,correct.q_2007_3_9_11_mc,correct.q_2007_1_6_19_mc,correct.q_2007_2_9_5_mc,correct.q_2007_2_6_1_mc,correct.q_2007_1_6_6_mc,correct.q_2007_1_6_9_mc,correct.q_2007_3_9_5_mc,correct.q_2007_4_9_11_mc,correct.q_2007_2_2_11_mc,correct.q_2007_4_9_1_mc,correct.q_2007_3_4_1_mc,correct.q_2007_2_6_6_mc,correct.q_2007_1_6_20_mc,correct.q_2007_4_3_2_mc,correct.q_2007_2_6_2_mc,ses_3level
Claude Sonnet,"varies, talent identified early through gifted programs",challenging_conditions,2,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"upper-middle class, achievement-oriented family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,High
Claude Sonnet,"low income family, first-generation college aspirant",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income, single-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,Low
Claude Sonnet,working class immigrant family,optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"working class, stable two-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income, first-generation college, highly motivated",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income family, first-generation college aspirant",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income, single-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,Low
Claude Sonnet,working class immigrant family,moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"working class, stable two-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income, first-generation college, highly motivated",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income family, first-generation college aspirant",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income, single-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,Low
Claude Sonnet,working class immigrant family,challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"working class, stable two-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"low income, first-generation college, highly motivated",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Claude Sonnet,"middle class, both parents working professionals",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"middle class, two-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"lower-middle class, immigrant parents emphasize education",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,Middle
Claude Sonnet,"middle class, parents own small business",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"middle class, both parents working professionals",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"middle class, two-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"lower-middle class, immigrant parents emphasize education",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,Middle
Claude Sonnet,"middle class, parents own small business",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"middle class, both parents working professionals",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"middle class, two-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Claude Sonnet,"lower-middle class, immigrant parents emphasize education",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,Middle
Claude Sonnet,"middle class, parents own small business",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"upper-middle class, professional parents",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"diverse SES, selective magnet school admission",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"affluent, high-income professional family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"middle to upper-middle class, parents support academic interests",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"varies, talent identified early through gifted programs",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"upper-middle class, achievement-oriented family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"upper-middle class, professional parents",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"diverse SES, selective magnet school admission",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"affluent, high-income professional family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"middle to upper-middle class, parents support academic interests",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"varies, talent identified early through gifted programs",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"upper-middle class, achievement-oriented family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"upper-middle class, professional parents",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"diverse SES, selective magnet school admission",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"affluent, high-income professional family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"middle to upper-middle class, parents support academic interests",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"varies, talent identified early through gifted programs",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"upper-middle class, achievement-oriented family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
GPT-5,"low income family, first-generation college aspirant",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income, single-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,working class immigrant family,optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"working class, stable two-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income, first-generation college, highly motivated",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income family, first-generation college aspirant",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income, single-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,working class immigrant family,moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"working class, stable two-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income, first-generation college, highly motivated",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income family, first-generation college aspirant",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income, single-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,working class immigrant family,challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"working class, stable two-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"low income, first-generation college, highly motivated",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
GPT-5,"middle class, both parents working professionals",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, two-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"lower-middle class, immigrant parents emphasize education",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, parents own small business",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, both parents working professionals",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, two-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"lower-middle class, immigrant parents emphasize education",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, parents own small business",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, both parents working professionals",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, two-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"lower-middle class, immigrant parents emphasize education",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
GPT-5,"middle class, parents own small business",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"upper-middle class, professional parents",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"diverse SES, selective magnet school admission",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"affluent, high-income professional family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"middle to upper-middle class, parents support academic interests",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"varies, talent identified early through gifted programs",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"upper-middle class, achievement-oriented family",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"upper-middle class, professional parents",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"diverse SES, selective magnet school admission",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"affluent, high-income professional family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"middle to upper-middle class, parents support academic interests",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"varies, talent identified early through gifted programs",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"upper-middle class, achievement-oriented family",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"upper-middle class, professional parents",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"diverse SES, selective magnet school admission",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"affluent, high-income professional family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"middle to upper-middle class, parents support academic interests",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"varies, talent identified early through gifted programs",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"upper-middle class, achievement-oriented family",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,High
Gemini 2.5 Flash,"low income family, first-generation college aspirant",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income, single-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,working class immigrant family,optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"working class, stable two-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income, first-generation college, highly motivated",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income family, first-generation college aspirant",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income, single-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,working class immigrant family,moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"working class, stable two-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income, first-generation college, highly motivated",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income family, first-generation college aspirant",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income, single-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,working class immigrant family,challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"working class, stable two-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"low income, first-generation college, highly motivated",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Low
Gemini 2.5 Flash,"middle class, both parents working professionals",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, two-parent household",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"lower-middle class, immigrant parents emphasize education",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, parents own small business",optimal_conditions,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, both parents working professionals",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, two-parent household",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"lower-middle class, immigrant parents emphasize education",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, parents own small business",moderate_stress,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, both parents working professionals",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, two-parent household",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"lower-middle class, immigrant parents emphasize education",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
Gemini 2.5 Flash,"middle class, parents own small business",challenging_conditions,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Middle
